index,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Restructuring And Mergern Acquisition,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Research And Development,Selling General And Administration,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,symbol,Average Dilution Earnings,Otherunder Preferred Stock Dividend,Minority Interests,Write Off,Gain On Sale Of Security,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Earnings From Equity Interest Net Of Tax,Other Operating Expenses,Total Other Finance Cost,Earnings From Equity Interest
2023-03-31,-77101238.164603,0.230153,16400000000.0,-335000000.0,-335000000.0,3172000000.0,11123000000.0,109146000000.0,16065000000.0,4942000000.0,-212000000.0,823000000.0,611000000.0,3429898761.835397,3172000000.0,122584000000.0,4774000000.0,10347000000.0,10250000000.0,0.31,0.31,3172000000.0,3172000000.0,3172000000.0,3172000000.0,3172000000.0,948000000.0,4119000000.0,-443000000.0,-108000000.0,,,-212000000.0,823000000.0,611000000.0,4774000000.0,13438000000.0,,13215000000.0,18212000000.0,109146000000.0,127358000000.0,127358000000.0,AMZN,,,,,-335000000.0,10172000000.0,3043000000.0,3043000000.0,1000000.0,223000000.0,,
2024-03-31,0.0,0.158,30736000000.0,,,23636000000.0,2836000000.0,48482000000.0,30736000000.0,27900000000.0,,,,23636000000.0,23636000000.0,62853000000.0,27900000000.0,15464709000.0,15405856000.0,1.53,1.53,23636000000.0,23636000000.0,23636000000.0,23636000000.0,23636000000.0,4422000000.0,28058000000.0,158000000.0,158000000.0,,,,,,27900000000.0,14371000000.0,7903000000.0,6468000000.0,42271000000.0,48482000000.0,90753000000.0,90753000000.0,AAPL,,,,,,,,,,,,
2023-12-31,0.0,0.159,43221000000.0,,,33916000000.0,2848000000.0,64720000000.0,43221000000.0,40373000000.0,,,,33916000000.0,33916000000.0,79202000000.0,40373000000.0,15576641000.0,15509763000.0,2.18,2.19,33916000000.0,33916000000.0,33916000000.0,33916000000.0,33916000000.0,6407000000.0,40323000000.0,-50000000.0,-50000000.0,,,,,,40373000000.0,14482000000.0,7696000000.0,6786000000.0,54855000000.0,64720000000.0,119575000000.0,119575000000.0,AAPL,,,,,,,,,,,,
2023-09-30,0.0,0.149715,30653000000.0,,,22956000000.0,2653000000.0,49071000000.0,30653000000.0,28000000000.0,-18000000.0,1002000000.0,984000000.0,22956000000.0,22956000000.0,62529000000.0,26969000000.0,15672400000.0,15599434000.0,1.46,1.47,22956000000.0,22956000000.0,22956000000.0,22956000000.0,22956000000.0,4042000000.0,26998000000.0,47000000.0,47000000.0,,,-18000000.0,1002000000.0,984000000.0,26969000000.0,13458000000.0,7307000000.0,6151000000.0,40427000000.0,49071000000.0,89498000000.0,89498000000.0,AAPL,,,,,,,,,,,,
2023-06-30,0.0,0.125,26783000000.0,,,19881000000.0,3052000000.0,45384000000.0,26783000000.0,23731000000.0,-18000000.0,998000000.0,980000000.0,19881000000.0,19881000000.0,58799000000.0,22998000000.0,15775021000.0,15697614000.0,1.26,1.27,19881000000.0,19881000000.0,19881000000.0,19881000000.0,19881000000.0,2852000000.0,22733000000.0,-247000000.0,-247000000.0,,,-18000000.0,998000000.0,980000000.0,22998000000.0,13415000000.0,7442000000.0,5973000000.0,36413000000.0,45384000000.0,81797000000.0,81797000000.0,AAPL,,,,,,,,,,,,
2023-03-31,0.0,0.149,31216000000.0,,,24160000000.0,2898000000.0,52860000000.0,31216000000.0,28318000000.0,-12000000.0,930000000.0,918000000.0,24160000000.0,24160000000.0,66518000000.0,28318000000.0,15847050000.0,15787154000.0,1.52,1.53,24160000000.0,24160000000.0,24160000000.0,24160000000.0,24160000000.0,4222000000.0,28382000000.0,64000000.0,64000000.0,,,-12000000.0,930000000.0,918000000.0,28318000000.0,13658000000.0,7457000000.0,6201000000.0,41976000000.0,52860000000.0,94836000000.0,94836000000.0,AAPL,,,,,,,,,,,,
2022-12-31,,,,,,,,,,,-135000000.0,1003000000.0,868000000.0,,,,,,,,,,,,,,,,,,,,-135000000.0,1003000000.0,868000000.0,,,,,,,,,AAPL,,,,,,,,,,,,
2022-09-30,,,,,,,,,,,-74000000.0,827000000.0,753000000.0,,,,,,,,,,,,,,,,,,,,-74000000.0,827000000.0,753000000.0,,,,,,,,,AAPL,,,,,,,,,,,,
2024-03-31,-32560000.0,0.22,17832000000.0,-148000000.0,-148000000.0,12369000000.0,3374000000.0,6640000000.0,17684000000.0,14310000000.0,513000000.0,127000000.0,585000000.0,12484440000.0,12369000000.0,22637000000.0,13818000000.0,2625000000.0,2545000000.0,4.71,4.86,12369000000.0,12369000000.0,12369000000.0,12369000000.0,12369000000.0,1814000000.0,14183000000.0,-148000000.0,,,,513000000.0,127000000.0,585000000.0,13818000000.0,15997000000.0,9978000000.0,6019000000.0,29815000000.0,6640000000.0,36455000000.0,36075000000.0,META,,,,,-148000000.0,2564000000.0,3455000000.0,3455000000.0,,,-55000000.0,
2023-12-31,-10126137.918724,0.166002,20176000000.0,-61000000.0,-61000000.0,14017000000.0,3172000000.0,7695000000.0,20115000000.0,16943000000.0,484000000.0,136000000.0,588000000.0,14067873862.081276,14017000000.0,23727000000.0,16384000000.0,2630000000.0,2566000000.0,5.33,5.46,14017000000.0,14017000000.0,14017000000.0,14017000000.0,14017000000.0,2790000000.0,16807000000.0,-61000000.0,,,,484000000.0,136000000.0,588000000.0,16384000000.0,16032000000.0,10517000000.0,5515000000.0,32416000000.0,7695000000.0,40111000000.0,39777000000.0,META,,,,,-61000000.0,3226000000.0,2289000000.0,2289000000.0,,,-32000000.0,
2023-09-30,-16660000.0,0.17,17116000000.0,-98000000.0,-98000000.0,11583000000.0,2859000000.0,6210000000.0,17018000000.0,14159000000.0,370000000.0,139000000.0,534000000.0,11664340000.0,11583000000.0,20398000000.0,13748000000.0,2641000000.0,2576000000.0,4.39,4.5,11583000000.0,11583000000.0,11583000000.0,11583000000.0,11583000000.0,2437000000.0,14020000000.0,-98000000.0,,,,370000000.0,139000000.0,534000000.0,13748000000.0,14188000000.0,9241000000.0,4947000000.0,27936000000.0,6210000000.0,34146000000.0,33853000000.0,META,,,,,-98000000.0,2877000000.0,2070000000.0,2070000000.0,,,25000000.0,
2023-06-30,-23200000.0,0.16,12177000000.0,-145000000.0,-145000000.0,7788000000.0,2623000000.0,5945000000.0,12032000000.0,9409000000.0,46000000.0,116000000.0,323000000.0,7909800000.0,7788000000.0,22607000000.0,9392000000.0,2612000000.0,2568000000.0,2.98,3.03,7788000000.0,7788000000.0,7788000000.0,7788000000.0,7788000000.0,1505000000.0,9293000000.0,-145000000.0,,,,46000000.0,116000000.0,323000000.0,9392000000.0,16662000000.0,9344000000.0,7318000000.0,26054000000.0,5945000000.0,31999000000.0,31774000000.0,META,,,,,-145000000.0,3154000000.0,4164000000.0,4164000000.0,,,161000000.0,
2023-03-31,-8190000.0,0.13,9949000000.0,-63000000.0,-63000000.0,5709000000.0,2524000000.0,6108000000.0,9886000000.0,7362000000.0,143000000.0,55000000.0,193000000.0,5763810000.0,5709000000.0,21418000000.0,7227000000.0,2596000000.0,2587000000.0,2.2,2.21,5709000000.0,5709000000.0,5709000000.0,5709000000.0,5709000000.0,1598000000.0,7307000000.0,-63000000.0,,,,143000000.0,55000000.0,193000000.0,7227000000.0,15310000000.0,9381000000.0,5929000000.0,22537000000.0,6108000000.0,28645000000.0,28440000000.0,META,801000000.0,,,,-63000000.0,3044000000.0,2885000000.0,2885000000.0,,,-5000000.0,
2022-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-339000000.0,,,,,,,,,,,,,,META,,,,,,,,,,,,
2022-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-34000000.0,,,,,,,,,,,,,,META,665000000.0,,,,,,,,,,,
2024-03-31,253052000.0,0.164,30279000000.0,1543000000.0,1543000000.0,23662000000.0,3413000000.0,33712000000.0,31822000000.0,28409000000.0,967000000.0,94000000.0,1061000000.0,22372052000.0,23662000000.0,55067000000.0,25472000000.0,12527000000.0,12415000000.0,1.89,1.91,25303000000.0,23662000000.0,23662000000.0,23662000000.0,23662000000.0,4653000000.0,28315000000.0,1876000000.0,359000000.0,,,967000000.0,94000000.0,1061000000.0,25472000000.0,21355000000.0,11903000000.0,9452000000.0,46827000000.0,33712000000.0,80539000000.0,80539000000.0,GOOG,1641000000.0,,,,1543000000.0,6426000000.0,3026000000.0,3026000000.0,,,,-26000000.0
2023-12-31,3356955.595609,0.152589,26022000000.0,22000000.0,22000000.0,20687000000.0,1563000000.0,37575000000.0,26044000000.0,24481000000.0,1041000000.0,69000000.0,1110000000.0,20668356955.595608,20687000000.0,62613000000.0,23697000000.0,12602000000.0,12488000000.0,1.64,1.66,20687000000.0,20687000000.0,20687000000.0,20687000000.0,20687000000.0,3725000000.0,24412000000.0,-326000000.0,-92000000.0,,,1041000000.0,69000000.0,1110000000.0,23697000000.0,25038000000.0,12113000000.0,12925000000.0,48735000000.0,37575000000.0,86310000000.0,86310000000.0,GOOG,,,,,22000000.0,7719000000.0,5206000000.0,5206000000.0,,,,-256000000.0
2023-09-30,-83780000.0,0.071,26293000000.0,-1180000000.0,-1180000000.0,19689000000.0,3800000000.0,33229000000.0,25113000000.0,21313000000.0,950000000.0,116000000.0,1066000000.0,20785220000.0,19689000000.0,55350000000.0,21343000000.0,12702580645.0,12621153846.0,1.55,1.56,19689000000.0,19689000000.0,19689000000.0,19689000000.0,19689000000.0,1508000000.0,21197000000.0,-1096000000.0,299000000.0,,,950000000.0,116000000.0,1066000000.0,21343000000.0,22121000000.0,11258000000.0,10863000000.0,43464000000.0,33229000000.0,76693000000.0,76693000000.0,GOOG,,,,,-1180000000.0,6884000000.0,3979000000.0,3979000000.0,,,,-215000000.0
2023-06-30,-125097000.0,0.161,26671000000.0,-777000000.0,-777000000.0,18368000000.0,3948000000.0,31916000000.0,25894000000.0,21946000000.0,849000000.0,43000000.0,892000000.0,19019903000.0,18368000000.0,52766000000.0,21838000000.0,13674000000.0,12725000000.0,1.44,1.45,18368000000.0,18368000000.0,18368000000.0,18368000000.0,18368000000.0,3535000000.0,21903000000.0,-784000000.0,99000000.0,,,849000000.0,43000000.0,892000000.0,21838000000.0,20850000000.0,10588000000.0,10262000000.0,42688000000.0,31916000000.0,74604000000.0,74604000000.0,GOOG,,,,,-777000000.0,6781000000.0,3481000000.0,3481000000.0,,,,-106000000.0
2023-03-31,-21798000.0,0.173,21046000000.0,-126000000.0,-126000000.0,15051000000.0,2635000000.0,30612000000.0,20920000000.0,18285000000.0,717000000.0,80000000.0,797000000.0,15155202000.0,15051000000.0,52372000000.0,17415000000.0,13706000000.0,12781000000.0,1.17,1.18,16087000000.0,15051000000.0,15051000000.0,15051000000.0,15051000000.0,3154000000.0,18205000000.0,73000000.0,250000000.0,,,717000000.0,80000000.0,797000000.0,17415000000.0,21760000000.0,11468000000.0,10292000000.0,39175000000.0,30612000000.0,69787000000.0,69787000000.0,GOOG,1036000000.0,,,,-126000000.0,6533000000.0,3759000000.0,3759000000.0,,,,-51000000.0
