index,Free Cash Flow,Repurchase Of Capital Stock,Repayment Of Debt,Issuance Of Debt,Capital Expenditure,Income Tax Paid Supplemental Data,End Cash Position,Beginning Cash Position,Changes In Cash,Financing Cash Flow,Cash Flow From Continuing Financing Activities,Net Other Financing Charges,Proceeds From Stock Option Exercised,Cash Dividends Paid,Common Stock Dividend Paid,Net Common Stock Issuance,Common Stock Payments,Net Issuance Payments Of Debt,Net Long Term Debt Issuance,Long Term Debt Payments,Long Term Debt Issuance,Investing Cash Flow,Cash Flow From Continuing Investing Activities,Net Investment Purchase And Sale,Sale Of Investment,Purchase Of Investment,Net Business Purchase And Sale,Purchase Of Business,Net PPE Purchase And Sale,Purchase Of PPE,Operating Cash Flow,Cash Flow From Continuing Operating Activities,Change In Working Capital,Change In Other Current Liabilities,Change In Payables And Accrued Expense,Change In Accrued Expense,Change In Payable,Change In Account Payable,Change In Prepaid Assets,Change In Inventory,Change In Receivables,Changes In Account Receivables,Other Non Cash Items,Stock Based Compensation,Deferred Tax,Deferred Income Tax,Depreciation Amortization Depletion,Depreciation And Amortization,Operating Gains Losses,Gain Loss On Investment Securities,Net Income From Continuing Operations,symbol,Effect Of Exchange Rate Changes,Net Intangibles Purchase And Sale,Sale Of Intangibles,Purchase Of Intangibles,Change In Other Working Capital,Change In Other Current Assets,Asset Impairment Charge,Depreciation,Net Foreign Currency Exchange Gain Loss,Gain Loss On Sale Of PPE,Issuance Of Capital Stock,Common Stock Issuance,Net Short Term Debt Issuance,Short Term Debt Issuance,Net Other Investing Changes,Interest Paid Supplemental Data,Short Term Debt Payments,Sale Of PPE,Amortization Cash Flow,Amortization Of Intangibles
2022-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MSFT,,,,,,,,,,,,,,0.0,,,,,,
2024-03-31,4064000000.0,0.0,-1504000000.0,338000000.0,-14925000000.0,458000000.0,73332000000.0,73890000000.0,-129000000.0,-1256000000.0,-1256000000.0,-90000000.0,,,,0.0,0.0,-1166000000.0,-1100000000.0,-1100000000.0,0.0,-17862000000.0,-17862000000.0,-573000000.0,1392000000.0,-1965000000.0,-3354000000.0,-3354000000.0,-13935000000.0,-14925000000.0,18989000000.0,18989000000.0,-9883000000.0,,-14210000000.0,-2928000000.0,-11282000000.0,-11282000000.0,,1776000000.0,3684000000.0,3684000000.0,2734000000.0,4961000000.0,-938000000.0,-938000000.0,11684000000.0,11684000000.0,,,10431000000.0,AMZN,-429000000.0,,,,1568000000.0,-2701000000.0,,,,,,,-66000000.0,338000000.0,,407000000.0,-404000000.0,990000000.0,,
2023-12-31,27877000000.0,0.0,-7407000000.0,734000000.0,-14588000000.0,4197000000.0,73890000000.0,50081000000.0,23118000000.0,-6746000000.0,-6746000000.0,-73000000.0,,,,0.0,0.0,-6673000000.0,-1069000000.0,-1069000000.0,0.0,-12601000000.0,-12601000000.0,1133000000.0,1568000000.0,-435000000.0,-381000000.0,-381000000.0,-13353000000.0,-14588000000.0,42465000000.0,42465000000.0,13505000000.0,,17482000000.0,6594000000.0,10888000000.0,10888000000.0,,2643000000.0,2016000000.0,2016000000.0,-339000000.0,6319000000.0,-1464000000.0,-1464000000.0,13820000000.0,13820000000.0,,,10624000000.0,AMZN,691000000.0,,,,3629000000.0,,,,,,,,-5604000000.0,734000000.0,,907000000.0,-6338000000.0,1235000000.0,,
2023-09-30,8738000000.0,0.0,-9100000000.0,216000000.0,-12479000000.0,2628000000.0,50081000000.0,50067000000.0,516000000.0,-8948000000.0,-8948000000.0,-64000000.0,,,,0.0,0.0,-8884000000.0,-1005000000.0,-1005000000.0,0.0,-11753000000.0,-11753000000.0,1174000000.0,1393000000.0,-219000000.0,-1629000000.0,-1629000000.0,-11298000000.0,-12479000000.0,21217000000.0,21217000000.0,-4436000000.0,,1499000000.0,-1321000000.0,2820000000.0,2820000000.0,,808000000.0,-6718000000.0,-6718000000.0,-990000000.0,5829000000.0,-1196000000.0,-1196000000.0,12131000000.0,12131000000.0,,,9879000000.0,AMZN,-502000000.0,,,,-25000000.0,,,,,,,,-7879000000.0,216000000.0,,591000000.0,-8095000000.0,1181000000.0,,
2023-06-30,5021000000.0,0.0,-10861000000.0,4399000000.0,-11455000000.0,3735000000.0,50067000000.0,49734000000.0,264000000.0,-6539000000.0,-6539000000.0,-77000000.0,,,,0.0,0.0,-6462000000.0,-3220000000.0,-3220000000.0,0.0,-9673000000.0,-9673000000.0,1055000000.0,1551000000.0,-496000000.0,-316000000.0,-316000000.0,-10412000000.0,-11455000000.0,16476000000.0,16476000000.0,-6293000000.0,,1091000000.0,-1938000000.0,3029000000.0,3029000000.0,,-2373000000.0,-5167000000.0,-5167000000.0,47000000.0,7127000000.0,-2744000000.0,-2744000000.0,11589000000.0,11589000000.0,,,6750000000.0,AMZN,69000000.0,,,,156000000.0,,,,,,,,-3242000000.0,4399000000.0,,1072000000.0,-7641000000.0,1043000000.0,,
2023-03-31,-9419000000.0,0.0,-6369000000.0,12780000000.0,-14207000000.0,619000000.0,49734000000.0,54253000000.0,-4664000000.0,6354000000.0,6354000000.0,-57000000.0,,,,0.0,0.0,6411000000.0,-2766000000.0,-2766000000.0,0.0,-15806000000.0,-15806000000.0,777000000.0,1115000000.0,-338000000.0,-3513000000.0,-3513000000.0,-13070000000.0,-14207000000.0,4788000000.0,4788000000.0,-14317000000.0,,-17027000000.0,-5763000000.0,-11264000000.0,-11264000000.0,,371000000.0,4724000000.0,4724000000.0,534000000.0,4748000000.0,-472000000.0,-472000000.0,11123000000.0,11123000000.0,,,3172000000.0,AMZN,145000000.0,,,,818000000.0,-3203000000.0,,,,,,,9177000000.0,12780000000.0,,542000000.0,-3603000000.0,1137000000.0,,
2024-03-31,20694000000.0,-23205000000.0,-3148000000.0,,-1996000000.0,7276000000.0,33921000000.0,41974000000.0,-8053000000.0,-30433000000.0,-30433000000.0,-370000000.0,,-3710000000.0,-3710000000.0,-23205000000.0,-23205000000.0,-3148000000.0,-3150000000.0,-3150000000.0,,-310000000.0,-310000000.0,2131000000.0,17393000000.0,-15262000000.0,,,-1996000000.0,-1996000000.0,22690000000.0,22690000000.0,-5764000000.0,428000000.0,-12168000000.0,,-12168000000.0,-12168000000.0,,190000000.0,8767000000.0,1172000000.0,-982000000.0,2964000000.0,,,2836000000.0,2836000000.0,,,23636000000.0,AAPL,,,,,,-2981000000.0,,,,,,,2000000.0,,-445000000.0,,2000000.0,,,
2023-12-31,37503000000.0,-20139000000.0,-3984000000.0,,-2392000000.0,7255000000.0,41974000000.0,30737000000.0,11237000000.0,-30585000000.0,-30585000000.0,-2637000000.0,,-3825000000.0,-3825000000.0,-20139000000.0,-20139000000.0,-3984000000.0,0.0,0.0,,1927000000.0,1927000000.0,4603000000.0,14383000000.0,-9780000000.0,,,-2392000000.0,-2392000000.0,39895000000.0,39895000000.0,1123000000.0,-3865000000.0,-4542000000.0,,-4542000000.0,-4542000000.0,,-137000000.0,11124000000.0,6555000000.0,-989000000.0,2997000000.0,,,2848000000.0,2848000000.0,,,33916000000.0,AAPL,,,,,,-1457000000.0,,,,,,,-3984000000.0,,-284000000.0,,-3984000000.0,,,
2023-09-30,19435000000.0,-21003000000.0,0.0,0.0,-2163000000.0,11659000000.0,30737000000.0,29898000000.0,839000000.0,-23153000000.0,-23153000000.0,-385000000.0,,-3758000000.0,-3758000000.0,-21003000000.0,-21003000000.0,1993000000.0,0.0,0.0,0.0,2394000000.0,2394000000.0,5141000000.0,13698000000.0,-8557000000.0,,,-2163000000.0,-2163000000.0,21598000000.0,21598000000.0,-6060000000.0,45000000.0,14901000000.0,,14901000000.0,14901000000.0,,952000000.0,-21137000000.0,-9297000000.0,-576000000.0,2625000000.0,,,2653000000.0,2653000000.0,,,22956000000.0,AAPL,,,,,,-821000000.0,,,,,,,1993000000.0,,-584000000.0,1213000000.0,,,,
2023-06-30,24287000000.0,-17478000000.0,460000000.0,,-2093000000.0,2126000000.0,29898000000.0,27129000000.0,2769000000.0,-24048000000.0,-24048000000.0,-2438000000.0,,-3849000000.0,-3849000000.0,-17478000000.0,-17478000000.0,-283000000.0,-2272000000.0,-7500000000.0,,437000000.0,437000000.0,3036000000.0,12795000000.0,-9759000000.0,,,-2093000000.0,-2093000000.0,26380000000.0,26380000000.0,749000000.0,1229000000.0,3974000000.0,,3974000000.0,3974000000.0,,-22000000.0,-3661000000.0,-1987000000.0,81000000.0,2617000000.0,,,3052000000.0,3052000000.0,,,19881000000.0,AAPL,,,,,,-771000000.0,,,,,,,1989000000.0,,-506000000.0,717000000.0,,,,
