uuid,title,publisher,link,providerPublishTime,type,relatedTickers,thumbnail,symbol
782fe762-e787-3952-92d2-4ac287fd92ea,"Microsoft Insiders Sell US$82m Of Stock, Possibly Signalling Caution",Simply Wall St.,https://finance.yahoo.com/news/microsoft-insiders-sell-us-82m-110046765.html,1717412446,STORY,"[""MSFT""]","{""resolutions"": [{""url"": ""https://s.yimg.com/uu/api/res/1.2/eFZZVJx6QdqQsl5Qimg4Rw--~B/aD00MzI7dz0xMTk0O2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/simply_wall_st__316/a5d5a89dd6ab73bc7694c99b9023ec2d"", ""width"": 1194, ""height"": 432, ""tag"": ""original""}, {""url"": ""https://s.yimg.com/uu/api/res/1.2/5Fy.yFFq_J2cr_4EvCbCFw--~B/Zmk9ZmlsbDtoPTE0MDtweW9mZj0wO3c9MTQwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/simply_wall_st__316/a5d5a89dd6ab73bc7694c99b9023ec2d"", ""width"": 140, ""height"": 140, ""tag"": ""140x140""}]}",MSFT
b983dac7-7c63-3810-93f7-a2b415b557c3,1 AI Stock Outpaced Nvidia by Nearly 300%; Is It Still a Strong Buy?,Motley Fool,https://finance.yahoo.com/m/b983dac7-7c63-3810-93f7-a2b415b557c3/1-ai-stock-outpaced-nvidia-by.html,1717411500,STORY,"[""NVDA"", ""VRT"", ""MSFT"", ""GOOG""]","{""resolutions"": [{""url"": ""https://s.yimg.com/uu/api/res/1.2/LMouxFLMwwbI7TcMGUAERw--~B/aD00NTY7dz03MjA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/motleyfool.com/cd842766f1222544c49a541f1a47da6d"", ""width"": 720, ""height"": 456, ""tag"": ""original""}, {""url"": ""https://s.yimg.com/uu/api/res/1.2/Nz5w1bRdZk_wxVVcONR84Q--~B/Zmk9ZmlsbDtoPTE0MDtweW9mZj0wO3c9MTQwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/motleyfool.com/cd842766f1222544c49a541f1a47da6d"", ""width"": 140, ""height"": 140, ""tag"": ""140x140""}]}",MSFT
5dfcabc1-3080-3d5c-8eab-7d46455e8117,"Few AI deepfakes identified in EU elections, Microsoft president says",Reuters,https://finance.yahoo.com/news/few-ai-deepfakes-identified-eu-104313392.html,1717411393,STORY,"[""MSFT""]","{""resolutions"": [{""url"": ""https://s.yimg.com/uu/api/res/1.2/geQhL.DU2VqHqC71sx0U3g--~B/aD01MzM7dz04MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/reuters-finance.com/0c9d6e4834ae5a4e63e10e1f01fbe2d0"", ""width"": 800, ""height"": 533, ""tag"": ""original""}, {""url"": ""https://s.yimg.com/uu/api/res/1.2/Sq2FuXpvjXp.3BDubmFEeQ--~B/Zmk9ZmlsbDtoPTE0MDtweW9mZj0wO3c9MTQwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/reuters-finance.com/0c9d6e4834ae5a4e63e10e1f01fbe2d0"", ""width"": 140, ""height"": 140, ""tag"": ""140x140""}]}",MSFT
47ecd4a0-786e-4a0a-a664-24d9afeec2f7,Tech companies bet on carbon removal startups as AI tests climate goals,Yahoo Finance,https://finance.yahoo.com/news/tech-companies-bet-on-carbon-removal-startups-as-ai-tests-climate-goals-100026858.html,1717408826,STORY,"[""META"", ""JPM"", ""MSFT"", ""GOOG""]","{""resolutions"": [{""url"": ""https://s.yimg.com/uu/api/res/1.2/CxFQZlgwwAlCTwPwc7MFng--~B/aD00MDAwO3c9NjAwMDthcHBpZD15dGFjaHlvbg--/https://s.yimg.com/os/creatr-uploaded-images/2024-05/2fc297b0-1f88-11ef-9f77-600f8c3192a0"", ""width"": 6000, ""height"": 4000, ""tag"": ""original""}, {""url"": ""https://s.yimg.com/uu/api/res/1.2/ziaqNDv2dWkei5JVFYPpEA--~B/Zmk9ZmlsbDtoPTE0MDtweW9mZj0wO3c9MTQwO2FwcGlkPXl0YWNoeW9u/https://s.yimg.com/os/creatr-uploaded-images/2024-05/2fc297b0-1f88-11ef-9f77-600f8c3192a0"", ""width"": 140, ""height"": 140, ""tag"": ""140x140""}]}",MSFT
7e86c81b-a8ea-382e-9f3b-c7edfd284170,Amazon Founder Jeff Bezos Sells 1.1 Million Shares of Company Stock,MT Newswires,https://finance.yahoo.com/news/amazon-founder-jeff-bezos-sells-112151310.html,1717413711,STORY,"[""AMZN""]",NaN,AMZN
f49b6d50-fabc-37f7-ba0b-45c782cf387e,Amazon Stock Just Set a New All-Time High. Here's Why I'm Still Buying.,Motley Fool,https://finance.yahoo.com/m/f49b6d50-fabc-37f7-ba0b-45c782cf387e/amazon-stock-just-set-a-new.html,1717413300,STORY,"[""AMZN""]","{""resolutions"": [{""url"": ""https://s.yimg.com/uu/api/res/1.2/ZfX3UaB5yp11BRd7g6Njow--~B/aD00NDE7dz03MjA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/motleyfool.com/7b804e330c60bdec5e0c925834c64f36"", ""width"": 720, ""height"": 441, ""tag"": ""original""}, {""url"": ""https://s.yimg.com/uu/api/res/1.2/jkNZTNVn_BRqKcLz7sc8HA--~B/Zmk9ZmlsbDtoPTE0MDtweW9mZj0wO3c9MTQwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/motleyfool.com/7b804e330c60bdec5e0c925834c64f36"", ""width"": 140, ""height"": 140, ""tag"": ""140x140""}]}",AMZN
83cc70f5-b894-37bb-8507-eea6db87aa5d,Costco's In-Store Prices Are Usually Lower -- but Here's Why You Might Save More by Shopping at Costco.com,Motley Fool,https://finance.yahoo.com/m/83cc70f5-b894-37bb-8507-eea6db87aa5d/costco%27s-in-store-prices-are.html,1717410620,STORY,"[""COST"", ""AMZN""]","{""resolutions"": [{""url"": ""https://s.yimg.com/uu/api/res/1.2/cC_qRIGVcI0sN8nQY0kh9Q--~B/aD01MTg7dz03OTM7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/motleyfool.com/5355e152f7947d6164c5212f5fac68f8"", ""width"": 793, ""height"": 518, ""tag"": ""original""}, {""url"": ""https://s.yimg.com/uu/api/res/1.2/aIQAH3SdNkQSFk4P9B.IeQ--~B/Zmk9ZmlsbDtoPTE0MDtweW9mZj0wO3c9MTQwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/motleyfool.com/5355e152f7947d6164c5212f5fac68f8"", ""width"": 140, ""height"": 140, ""tag"": ""140x140""}]}",AMZN
f007a382-1ef6-36e0-83b0-9c946d470a1f,Billionaire Ray Dalio Just Bought These 5 Artificial Intelligence (AI) Stocks,Motley Fool,https://finance.yahoo.com/m/f007a382-1ef6-36e0-83b0-9c946d470a1f/billionaire-ray-dalio-just.html,1717408800,STORY,"[""NVDA"", ""MSFT"", ""GOOG"", ""META"", ""AMZN""]","{""resolutions"": [{""url"": ""https://s.yimg.com/uu/api/res/1.2/0HgkEKOCNMaWtnUjqL0kLw--~B/aD00NDE7dz03MjA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/motleyfool.com/23a4e347a15c2c630047b88a9c30fdf2"", ""width"": 720, ""height"": 441, ""tag"": ""original""}, {""url"": ""https://s.yimg.com/uu/api/res/1.2/XIAcc6pUzLq1h10yRbMzYg--~B/Zmk9ZmlsbDtoPTE0MDtweW9mZj0wO3c9MTQwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/motleyfool.com/23a4e347a15c2c630047b88a9c30fdf2"", ""width"": 140, ""height"": 140, ""tag"": ""140x140""}]}",AMZN
6a9d9cec-a25e-3694-948a-08b093801815,Is Amazon Stock a Buy Now?,Motley Fool,https://finance.yahoo.com/m/6a9d9cec-a25e-3694-948a-08b093801815/is-amazon-stock-a-buy-now%3F.html,1717344000,STORY,"[""AMZN""]","{""resolutions"": [{""url"": ""https://s.yimg.com/uu/api/res/1.2/d9E5oTBxoD6AwQBc_snqyw--~B/aD00ODQ7dz03MjA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/motleyfool.com/1a0f4d9a8e67889199fcf5d6b725a6d1"", ""width"": 720, ""height"": 484, ""tag"": ""original""}, {""url"": ""https://s.yimg.com/uu/api/res/1.2/TR4_3xT6E8bYJPB88tWvRA--~B/Zmk9ZmlsbDtoPTE0MDtweW9mZj0wO3c9MTQwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/motleyfool.com/1a0f4d9a8e67889199fcf5d6b725a6d1"", ""width"": 140, ""height"": 140, ""tag"": ""140x140""}]}",AMZN
d769678d-bc4e-33fa-bddb-372ddeff057f,The Least Productive Country in the World,Insider Monkey,https://finance.yahoo.com/news/least-productive-country-world-134418728.html,1717335858,STORY,"[""PYPL"", ""AMZN"", ""AAPL""]",NaN,AMZN
